FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES
2310,3,23,DEU,3,BOG,8,3,23,1,198,1,8,2,8,33,KG,1031,1197,1031,107926,456245758
2310,3,23,DEU,3,BOG,11,1,211,1,198,1,8,2,11,11,U,2,67,60,11612,48933125
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,11,11,U,8960,340,312,1613,6823128
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,11,11,U,140,11345,8192,200772,846571857
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,11,11,U,4900,169,154,882,3715425
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,11,11,U,14400,548,501,2592,10918800
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,11,11,U,10555,366,315,1892,8006464
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,11,11,U,37203,1441,1239,6639,28097488
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,58832,1031,849,15774,66022338
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,2825,111,92,452,1912236
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,23620,884,787,4263,17894160
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,9,11,9,18,76538
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,50,62,50,145,614427
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,78,99,78,195,829158
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,20,25,20,75,318907
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,271,341,271,1031,4381779
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,99,124,99,367,1561367
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,81,98,81,277,1177404
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,196,246,196,1008,4286107
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,1771,2228,1771,7254,30844661
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,29,36,29,164,697343
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,33,41,33,122,516629
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,140,145,140,3177,13465131
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,30,33,30,45145,190572836
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,15,53,C/T,285,0,0,98500,417526725
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,0,0,0,61500,260689275
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,11,11,U,106196,2282,1847,28408,119702135
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,11,82,M2,10,14,11,620,2554414
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,11,11,U,270,371,285,9614,39617207
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,11,11,U,12,17,13,354,1456804
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,11,11,U,1,1,1,61,250534
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,6,2,11,11,U,32,142,108,150,637350
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,11,11,U,3,90,67,120,494474
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,11,11,U,1,22,21,3710,16274509
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,11,11,U,31,3,2,2410,10154151
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,11,11,U,4,1,1,328,1381592
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,11,11,U,27,2,2,3172,13366797
2310,3,23,DEU,3,BOG,11,3,23,1,198,2,6,1,11,11,U,8,371,264,3407,13811566
2310,3,23,DEU,3,BOG,11,3,23,1,198,2,6,2,11,11,U,24,619,480,1520,6377093
2310,3,23,DEU,3,BOG,11,3,23,1,198,2,8,2,11,11,U,2,19,10,100,405376
2310,3,23,DEU,3,BOG,11,3,23,4,201,2,8,2,11,11,U,2,122,110,5500,22662503
2310,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,11,11,U,37600,1499,1289,6812,28848854
2310,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,11,11,U,11520,380,342,2074,8735040
2310,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,11,11,U,63680,2361,1976,11504,48459926
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,11,11,U,4400,165,154,836,3552164
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,11,11,U,8800,339,316,1672,7104328
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,11,11,U,5476,233,217,931,3921501
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,11,11,U,16438,689,641,3464,14591258
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,11,11,U,2802,72,70,3966,16778345
2310,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,76,11,U,1,79,72,2402,9948709
2310,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,76,11,U,1,12,11,362,1499115
2310,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,76,11,U,1,89,80,2682,11107108
2310,3,23,DEU,3,BOG,11,5,245,1,198,2,8,2,11,33,KG,50,52,50,435,1846499
2310,3,23,DEU,3,BOG,11,5,245,1,198,2,8,2,11,33,KG,300,315,300,685,2908926
2310,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,11,11,U,24480,1012,856,4892,20786108
2310,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,11,11,U,2250,139,137,672,2842970
2310,3,23,DEU,3,BOG,11,7,827,1,198,1,8,1,11,11,U,26256,634,615,28492,120021960
2310,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,11,11,U,23220,762,697,3200,13508873
2310,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,11,11,U,70780,2738,2483,10801,45620438
2310,3,23,DEU,3,BOG,11,8,618,1,198,1,8,2,11,11,U,1800,169,154,925,3918817
2310,3,23,DEU,3,BOG,11,9,149,1,198,1,8,2,11,33,KG,1550,1807,1550,10123,42949605
2310,3,23,DEU,3,BOG,11,9,169,1,198,1,8,2,27,33,KG,1,1,1,55000,222956800
2310,3,23,DEU,3,BOG,11,9,169,1,198,1,8,2,11,11,U,2714,60,58,3215,14101533
2310,3,23,DEU,3,BOG,11,9,169,1,199,1,8,2,15,53,C/T,125,0,0,9440,39906562
2310,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,11,11,U,7100,239,220,1278,5383575
2310,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,11,11,U,41367,1497,1381,7450,31383378
2310,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,11,11,U,1,79,41,640,2717703
2310,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,11,33,KG,246,290,246,2082,8649214
2310,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,15,33,KG,7537,8692,7537,41130,174343901
2310,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,15,33,KG,1300,1589,1300,7800,33063030
2310,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,15,33,KG,2,2,2,1,4239
2310,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,15,33,KG,180,208,180,477,2021931
2310,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,15,33,KG,3420,4032,3420,18184,77078401
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,1,25,11,U,4800,154,149,624,2639901
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,20,27,20,85,360152
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,25,33,25,113,481099
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,130,172,130,489,2080933
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,26,35,26,113,480274
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,10,12,10,4,16928
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,13,17,13,158,670597
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,216,278,216,809,3514385
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,70,88,70,330,1419721
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,1125,1477,1125,5885,25281881
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,33,KG,17,23,17,86,367381
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,11,U,1000,0,0,122,514645
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,25,11,U,319,185,164,5783,24295641
2310,3,23,DEU,3,BOG,25,3,23,1,2,2,8,2,25,11,U,253671,1079,737,1388,5812030
2310,3,23,DEU,3,BOG,25,3,253,1,198,1,5,1,25,11,U,2040,73,30,277,1169124
2310,3,23,DEU,3,BOG,25,3,253,1,198,1,5,1,25,11,U,2380,85,35,324,1363978
2310,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,25,11,U,40200,1386,1174,6518,27682160
2310,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,25,11,U,230280,7659,6546,36884,156569128
2310,3,23,DEU,3,BOG,25,3,573,1,198,2,8,2,25,11,U,180,7,5,27,118440
2310,3,23,DEU,3,BOG,25,5,245,1,198,1,8,1,25,11,U,4760,160,156,619,2617901
2310,3,23,DEU,3,BOG,25,5,245,1,198,1,8,1,25,11,U,2380,79,77,309,1308951
2310,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,25,11,U,13320,499,370,2131,9009414
2310,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,25,11,U,91980,3238,2672,13691,57890366
2310,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,25,11,U,8160,567,329,2448,10245904
2310,3,23,DEU,3,BOG,25,9,169,4,201,2,8,2,11,11,U,8,93,88,8800,37301880
2310,3,23,DEU,3,BOG,25,9,169,4,201,2,8,2,25,11,U,2,18,17,2200,9325470
2310,3,23,DEU,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,4857,5472,4857,39695,167215188
2310,3,23,DEU,3,BOG,25,9,249,1,198,2,8,2,25,11,U,834,4,3,8,35295
2310,3,23,DEU,3,BOG,50,3,23,1,199,1,8,2,50,11,U,32845,686,665,4647,18835796
2310,3,23,DEU,3,BOG,68,3,23,1,198,1,8,2,68,67,M3,3381,3361469,2939106,2458784,10373020843
2310,3,23,DEU,3,BOG,76,3,23,1,198,1,8,2,76,33,KG,560,583,560,19753,83595034
2310,3,23,DEU,3,BOG,76,3,23,1,198,1,8,2,76,33,KG,2163,2294,2163,63864,280149128
2310,3,23,DEU,3,BOG,76,3,23,1,198,1,8,2,76,33,KG,300,326,300,883,3638920
2310,3,26,ARM,3,BOG,5,9,169,1,198,2,8,2,5,11,U,60,11,9,0,494
2310,3,26,ARM,3,BOG,11,3,253,1,198,1,8,2,11,11,U,448,296,264,1469,6443126
2310,3,26,ARM,3,BOG,11,8,618,1,198,1,8,1,11,11,U,800,28,24,148,601003
2310,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,11,11,U,1540,60,55,246,1080873
2310,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,11,11,U,37690,1103,1010,5654,24799982
2310,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,11,11,U,10560,740,671,3270,14256982
2310,3,26,ARM,3,BOG,25,3,253,1,198,1,8,2,25,11,U,700,11,10,126,534095
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,11,11,U,2864,727,712,978,4289539
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,11,11,U,2532,164,161,866,3799900
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,11,11,U,1593,94,92,465,2037867
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,11,11,U,25,9,9,388,1699831
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,11,11,U,156,47,46,107,470864
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,11,33,KG,161,164,161,651,2856812
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,6,2,11,11,U,4325,240,225,1384,5855164
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,6,2,11,11,U,3340,402,377,1564,6614559
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,6,2,11,33,KG,169,180,169,931,3939544
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,13566,750,728,5148,21823550
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,564,31,30,214,907326
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,377,21,20,143,606495
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,1317,73,71,500,2118662
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,752,42,40,285,1209768
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,376,21,20,143,604884
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,29025,1604,1557,11015,46692289
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,33,KG,91,94,91,644,2728336
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,33,KG,30,39,30,88,361378
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,33,KG,120,154,120,314,1293545
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,24,11,7,388,1636464
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,344,68,65,5766,24341041
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,75,17,10,2378,10038465
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,11,11,U,347,89,85,7476,31559956
2310,3,27,ABW,3,BOG,11,0,580,1,2,2,8,2,11,11,U,41,204,182,205,858337
2310,3,27,ABW,3,BOG,11,0,580,1,2,2,8,2,11,11,U,8,7,6,18,75985
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,4591,283,274,1391,6100309
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,200,12,12,61,265744
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,998,61,60,302,1326087
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,798,49,48,242,1060343
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,600,37,36,182,797232
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,200,12,12,61,265744
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,7985,492,477,2419,10610278
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,33,KG,72,74,72,363,1591831
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,33,KG,225,251,225,3300,13598046
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,86,20,19,1444,5950999
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,21,5,5,351,1445472
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,113,26,25,3389,13963916
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,241,55,53,5254,21651509
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,60,14,13,1683,6933355
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,5,11,U,228,52,50,4975,20501444
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,11,11,U,12,3,3,55,225233
2310,3,27,ABW,3,BOG,11,9,249,1,104,2,8,2,11,33,KG,52,55,52,582,2468706
2310,3,27,ABW,3,BOG,11,9,249,1,104,2,8,2,11,33,KG,29,30,29,231,977860
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,11,33,KG,42,57,42,2394,10022195
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,11,33,KG,37,50,37,1954,8179743
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,11,33,KG,311,425,311,6636,27783324
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,11,33,KG,144,197,144,6164,25810404
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,25,33,KG,17,23,17,1099,4602361
2310,3,27,ABW,3,BOG,25,9,239,1,198,1,4,2,25,19,2U,325,657,621,15457,63692423
2310,3,27,ABW,3,BOG,25,9,239,1,198,1,4,2,25,19,2U,21,44,41,567,2336392
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,4725,161,84,1542,6687717
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,250,7,4,35,146545
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,1750,31,16,243,1045087
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,2630,106,56,658,2824402
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,1660,46,24,498,2147191
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,500,115,60,317,1376906
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,11,U,5437,480,252,2690,11577033
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,188,355,188,2514,10734050
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,60,64,60,123,517399
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,55,59,55,125,525195
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,168,180,168,367,1546172
2310,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,25,33,KG,60,64,60,123,526944
2310,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,25,33,KG,55,59,55,125,535375
2310,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,25,33,KG,168,179,168,367,1577244
2310,3,27,ABW,3,BOG,68,7,27,1,198,1,8,2,68,67,M3,389,250057,250057,348102,1508545745
2310,3,27,ABW,3,BOG,76,9,249,1,198,1,8,2,76,33,KG,474,504,474,3793,16032757
2310,3,29,BIH,3,BOG,25,8,618,1,198,1,8,2,25,33,KG,5,6,5,40,168559
2310,3,29,BIH,3,BOG,25,9,169,1,198,1,8,2,25,11,U,31755,1864,577,8892,37534489
2310,3,29,BIH,3,BOG,25,9,169,1,198,1,8,2,25,11,U,9000,259,80,1080,4559101
2310,3,40,AGO,3,BOG,11,3,23,1,104,2,8,2,8,11,U,3,305,264,12300,52262615
2310,3,40,AGO,3,BOG,11,5,275,1,104,2,8,2,8,11,U,30,0,0,355,1507843
2310,3,40,AGO,3,BOG,11,5,275,1,104,2,8,2,8,33,KG,10,14,10,300,1273213
2310,3,40,AGO,3,BOG,11,5,275,1,104,2,8,2,8,33,KG,24,36,24,1455,6183230
2310,3,40,AGO,3,BOG,11,5,275,1,104,2,8,2,8,33,KG,3,4,3,566,2403659
2310,3,53,SAU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,920,137,114,767,3241563
2310,3,53,SAU,3,BOG,5,3,253,1,198,1,8,2,5,11,U,8772,1341,1206,5875,24801764
2310,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,5,11,U,11948,1969,1711,9419,40272654
2310,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,5,33,KG,10,10,10,138,601597
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,11,U,962,148,144,366,1593622
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,30,36,30,121,512750
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,20,24,20,118,500058
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,28,33,28,128,541941
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,16,19,16,67,284297
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,14,17,14,50,213223
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,45,53,45,139,586997
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,25,30,25,149,628246
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,15,18,15,79,332103
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,5,33,KG,20,24,20,90,380755
2310,3,53,SAU,3,BOG,8,9,169,1,198,1,8,2,8,11,U,17,10,9,9267,37566194
2310,3,53,SAU,3,BOG,8,9,169,1,198,1,8,2,8,11,U,6,3,3,1711,6935983
2310,3,53,SAU,3,BOG,8,9,169,1,198,1,8,2,8,11,U,3,2,2,891,3611900
2310,3,53,SAU,3,BOG,11,1,211,1,198,1,8,2,11,11,U,16,77,75,20146,84895019
2310,3,53,SAU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,6,110,99,51445,216785833
2310,3,53,SAU,3,BOG,11,8,618,1,198,1,6,2,11,11,U,12900,651,633,4093,16950873
2310,3,53,SAU,3,BOG,11,8,618,1,198,1,6,2,11,11,U,800,17,17,152,629497
2310,3,53,SAU,3,BOG,11,8,618,1,198,1,6,2,11,11,U,210,17,17,2,8697
2310,3,53,SAU,3,BOG,11,8,618,1,198,1,6,2,11,11,U,540,17,17,173,715639
2310,3,53,SAU,3,BOG,11,8,618,1,198,1,6,2,11,11,U,610,17,17,685,2834809
2310,3,53,SAU,3,BOG,11,8,618,1,198,1,6,2,11,11,U,700,35,34,219,906973
2310,3,53,SAU,3,BOG,11,8,618,1,198,1,6,2,11,33,KG,469,482,469,2582,10693172
2310,3,53,SAU,3,BOG,13,3,573,1,198,1,8,2,13,33,KG,5040,5040,5040,46176,194586301
2310,3,53,SAU,3,BOG,13,8,618,1,198,1,8,2,13,33,KG,8400,8400,8400,76961,324950816
2310,3,53,SAU,3,BOG,15,7,827,1,198,1,8,2,15,33,KG,4219,5112,4219,14840,65099789
2310,3,53,SAU,3,BOG,25,8,618,1,198,1,8,2,25,33,KG,720,919,720,10320,42739558
2310,3,53,SAU,3,BOG,25,8,618,1,198,1,8,2,25,33,KG,130,167,130,1096,4688905
2310,3,53,SAU,3,BOG,25,8,618,1,198,1,8,2,25,33,KG,260,334,260,1508,6466504
2310,3,53,SAU,3,BOG,25,8,618,1,198,1,8,2,25,33,KG,134,172,134,617,2647692
2310,3,53,SAU,3,BOG,25,8,618,1,198,1,8,2,25,33,KG,73,94,73,483,2084242
2310,3,53,SAU,3,BOG,25,8,618,1,198,1,8,2,25,33,KG,154,198,154,1153,4963867
2310,3,53,SAU,3,BOG,25,8,618,1,198,1,8,2,25,33,KG,13,16,13,113,478615
2310,3,53,SAU,3,BOG,25,9,249,1,198,1,8,2,25,33,KG,20,21,20,180,756275
2310,3,53,SAU,3,BOG,50,9,169,1,104,2,8,2,13,11,U,2,0,0,120,508026
2310,3,53,SAU,3,BOG,50,9,169,1,104,2,8,2,13,11,U,8,0,0,1,2882
2310,3,53,SAU,3,BOG,50,9,169,1,104,2,8,2,13,33,KG,0,0,0,7,30774
2310,3,53,SAU,3,BOG,50,9,169,1,104,2,8,2,13,33,KG,0,1,0,1863,7897656
2310,3,53,SAU,3,BOG,50,9,169,1,104,2,8,2,13,11,U,4,1,1,1777,7551947
2310,3,53,SAU,3,BOG,50,9,169,1,104,2,8,2,13,11,U,1,0,0,424,1798629
2310,3,59,DZA,3,BOG,11,3,253,1,4,1,8,2,11,11,U,17,446,358,750,3166043
2310,3,59,DZA,3,BOG,25,8,618,1,104,2,8,2,11,33,KG,2943,3398,2943,19756,83741534
2310,3,63,ARG,3,BOG,11,0,580,1,199,1,8,2,11,33,KG,50,56,50,1909,8045775
2310,3,63,ARG,3,BOG,11,1,211,1,198,1,2,1,11,11,U,61,1585,855,38950,165498550
2310,3,63,ARG,3,BOG,11,1,211,1,198,1,2,2,11,11,U,2,93,78,3250,13809250
2310,3,63,ARG,3,BOG,11,1,211,1,198,1,6,1,11,11,U,31460,1425,1308,3146,13313778
2310,3,63,ARG,3,BOG,11,1,211,1,198,1,8,1,11,11,U,95950,4936,4647,26447,115290872
2310,3,63,ARG,3,BOG,11,1,211,1,198,1,8,2,11,11,U,51702,3432,1660,10376,43708900
2310,3,63,ARG,3,BOG,11,1,211,1,198,1,8,2,11,33,KG,64,76,64,1010,4196489
2310,3,63,ARG,3,BOG,11,1,211,1,199,1,8,2,11,11,U,13273,55,50,2363,9784294
2310,3,63,ARG,3,BOG,11,9,249,1,198,1,8,1,11,11,U,3200,454,454,5845,24284793
2310,3,63,ARG,3,BOG,11,9,249,1,198,1,8,2,11,33,KG,2751,3331,2751,84190,356249793
2310,3,63,ARG,3,BOG,11,9,249,1,198,1,8,2,11,33,KG,1514,1749,1514,14171,59953243
2310,3,63,ARG,3,BOG,11,9,249,1,198,1,8,2,11,11,U,300,223,204,2937,12449926
2310,3,63,ARG,3,BOG,11,9,249,1,198,1,8,2,13,11,U,1200,48,20,7668,31138444
